organism,count
"gi|1953646644|ref|NR_171477.1| Stenotrophobium rhamnosiphilum strain GT1R17 16S ribosomal RNA, partial sequence",1498
"gi|636560211|ref|NR_116271.1| Hydrocarboniphaga daqingensis strain B2-9 16S ribosomal RNA, partial sequence",1415
"gi|631251420|ref|NR_112617.1| Panacagrimonas perspica strain Gsoil 142 16S ribosomal RNA, partial sequence",1397
"gi|310975202|ref|NR_037066.1| Thermus thermophilus HB8 16S ribosomal RNA, complete sequence",721
"gi|631252095|ref|NR_113293.1| Thermus thermophilus strain JCM 10941 16S ribosomal RNA, partial sequence",708
"gi|566085528|ref|NR_109599.1| Undibacterium terreum strain C3 16S ribosomal RNA, partial sequence",706
"gi|631250963|ref|NR_112160.1| Thermus kawarayensis JCM 12314 strain KW11 16S ribosomal RNA, partial sequence",664
"gi|2221405213|ref|NR_175435.1| Massilia arenae strain GEM5 16S ribosomal RNA, partial sequence",504
"gi|2363086896|ref|NR_181705.1| Undibacterium rivi strain FT147W 16S ribosomal RNA, partial sequence",488
"gi|1384992271|ref|NR_156019.1| Rugosibacter aromaticivorans strain Ca6 16S ribosomal RNA, complete sequence",465
"gi|343198792|ref|NR_043690.1| Methylotenera mobilis JLW8 16S ribosomal RNA, partial sequence",441
"gi|507148035|ref|NR_102842.1| Methylotenera mobilis JLW8 16S ribosomal RNA, partial sequence",431
"gi|444304267|ref|NR_074693.1| Methylotenera versatilis strain 301 16S ribosomal RNA, partial sequence",422
"gi|343200254|ref|NR_040941.1| Derxia gummosa strain IAM 13946 16S ribosomal RNA, partial sequence",349
"gi|343205990|ref|NR_044530.1| Pigmentiphaga litoralis strain JSM 061001 16S ribosomal RNA, partial sequence",304
"gi|1033657146|ref|NR_137236.1| Paraburkholderia solisilvae strain Y-47 16S ribosomal RNA, partial sequence",295
"gi|631251949|ref|NR_113147.1| Sulfuritalea hydrogenivorans sk43H 16S ribosomal RNA, partial sequence",277
"gi|1811131505|ref|NR_165687.1| Zwartia panacis strain DCY105 16S ribosomal RNA, partial sequence",258
"gi|1033657144|ref|NR_137234.1| Paraburkholderia humisilvae strain Y-12 16S ribosomal RNA, partial sequence",238
"gi|2136551513|ref|NR_173516.1| Stagnimonas aquatica strain THS-13 16S ribosomal RNA, partial sequence",211
"gi|2221405293|ref|NR_175460.1| Paraburkholderia silviterrae strain personal::4 M-K11 16S ribosomal RNA, partial sequence",206
"gi|2363083640|ref|NR_180068.1| Lacibacter luteus strain TTM-7 16S ribosomal RNA, partial sequence",205
"gi|848212600|ref|NR_132297.1| Sediminibacterium lactis strain LCJ02 16S ribosomal RNA, partial sequence",204
"gi|631253075|ref|NR_114273.1| Lacibacter cauensis strain NBRC 104930 16S ribosomal RNA, partial sequence",195
"gi|2363086226|ref|NR_181365.1| Undibacterium flavidum strain LX15W 16S ribosomal RNA, partial sequence",192
"gi|1040567070|ref|NR_137419.1| Sinimarinibacterium flocculans strain NH6-24 16S ribosomal RNA, partial sequence",186
"gi|343198928|ref|NR_044065.1| Solimonas soli DSM 21787 strain DCY12 16S ribosomal RNA, partial sequence",182
"gi|2221405526|ref|NR_175564.1| Rhodoferax aquaticus strain personal::Gr-4 16S ribosomal RNA, partial sequence",180
"gi|631251365|ref|NR_112562.1| Variovorax ginsengisoli strain Gsoil 3165 16S ribosomal RNA, partial sequence",175
"gi|631252140|ref|NR_113338.1| Lactiplantibacillus plantarum strain NBRC 15891 16S ribosomal RNA, partial sequence",168
"gi|1024974738|ref|NR_136785.1| Lactiplantibacillus plajomi strain NB53 16S ribosomal RNA, partial sequence",168
"gi|566085069|ref|NR_108708.1| Caenimonas terrae strain SGM1-15 16S ribosomal RNA, partial sequence",160
"gi|1384992270|ref|NR_156018.1| Endomicrobium proavitum strain Rsa215 16S ribosomal RNA, complete sequence",158
"gi|2363086228|ref|NR_181366.1| Undibacterium nitidum strain LX22W 16S ribosomal RNA, partial sequence",150
"gi|2363082625|ref|NR_179559.1| Angelakisella massiliensis strain Marseille-P3217 16S ribosomal RNA, partial sequence",142
"gi|636559545|ref|NR_115605.1| Lactiplantibacillus plantarum strain JCM 1149 16S ribosomal RNA, partial sequence",140
"gi|636559945|ref|NR_116005.1| Reyranella massiliensis 521 16S ribosomal RNA, partial sequence",135
"gi|699005311|ref|NR_126180.1| Reyranella graminifolii strain Wo-34 16S ribosomal RNA, partial sequence",135
"gi|566085594|ref|NR_109674.1| Reyranella soli strain KIS14-15 16S ribosomal RNA, partial sequence",134
"gi|1269801279|ref|NR_112116.2| Bacillus subtilis strain IAM 12118 16S ribosomal RNA, complete sequence",130
"gi|343199001|ref|NR_044283.1| Caldimicrobium rimae strain DS 16S ribosomal RNA, partial sequence",126
"gi|228716127|ref|NR_027547.1| Anaeromyxobacter dehalogenans strain 2CP-1 16S ribosomal RNA, partial sequence",118
"gi|2363083536|ref|NR_180016.1| Simulacricoccus ruber strain MCy10636 16S ribosomal RNA, partial sequence",116
"gi|444439612|ref|NR_074927.1| Anaeromyxobacter dehalogenans strain 2CP-1 16S ribosomal RNA, partial sequence",113
"gi|343204735|ref|NR_043811.1| Variovorax soli strain GH9-3 16S ribosomal RNA, partial sequence",113
"gi|1269801457|ref|NR_102783.2| Bacillus subtilis subsp. subtilis strain 168 16S ribosomal RNA, complete sequence",111
"gi|2363085720|ref|NR_181112.1| Solimonas marina strain C16B3 16S ribosomal RNA, partial sequence",111
"gi|343200245|ref|NR_040932.1| Alysiella crassa strain IAM 14969 16S ribosomal RNA, partial sequence",97
"gi|636559893|ref|NR_115953.1| Priestia aryabhattai B8W22 16S ribosomal RNA, partial sequence",97
"gi|1779814940|ref|NR_165014.1| Pseudomethylobacillus aquaticus strain H-5 16S ribosomal RNA, partial sequence",96
"gi|645320214|ref|NR_117473.1| Priestia megaterium strain ATCC 14581 16S ribosomal RNA, partial sequence",95
"gi|2221405287|ref|NR_175457.1| Ramlibacter humi strain 18x22-1 16S ribosomal RNA, partial sequence",92
"gi|343201449|ref|NR_042175.1| Solimonas variicoloris DSM 15731 strain MN28 16S ribosomal RNA, partial sequence",92
"gi|672239103|ref|NR_125692.1| Solimonas terrae strain KIS83-12 16S ribosomal RNA, partial sequence",92
"gi|2621112356|ref|NR_189260.1| Aurantibacillus circumpalustris strain Swamp196 16S ribosomal RNA, partial sequence",92
"gi|343205549|ref|NR_043917.1| Marinoscillum pacificum strain MRN461 16S ribosomal RNA, partial sequence",91
"gi|602270678|ref|NR_028800.2| Cupriavidus taiwanensis LMG 19424 16S ribosomal RNA, partial sequence",90
"gi|1441204384|ref|NR_157799.1| Novosphingobium humi strain R1-4 16S ribosomal RNA, partial sequence",88
"gi|343205721|ref|NR_044123.1| Solimonas flava DSM 18980 strain CW-KD 4 16S ribosomal RNA, partial sequence",83
"gi|444439445|ref|NR_074760.1| Rhodoferax ferrireducens T118 16S ribosomal RNA, partial sequence",80
"gi|507148059|ref|NR_102866.1| Cytophaga hutchinsonii ATCC 33406 16S ribosomal RNA, partial sequence",80
"gi|566084910|ref|NR_108458.1| Aquipuribacter hungaricus strain IV-75 16S ribosomal RNA, partial sequence",77
"gi|636560813|ref|NR_116873.1| Priestia megaterium strain ATCC 14581 16S ribosomal RNA, partial sequence",77
"gi|2962412368|ref|NR_199563.1| Pelomonas caseinilytica strain P7 16S ribosomal RNA, partial sequence",71
"gi|2962412369|ref|NR_199564.1| Pelomonas cellulosilytica strain P8 16S ribosomal RNA, partial sequence",70
"gi|672238947|ref|NR_125536.1| Rhodoferax saidenbachensis strain ED16 16S ribosomal RNA, partial sequence",70
"gi|636559531|ref|NR_115591.1| Brevibacillus formosus strain NRRL NRS-863 16S ribosomal RNA, partial sequence",68
"gi|636559530|ref|NR_115590.1| Brevibacillus choshinensis strain HPD52 16S ribosomal RNA, partial sequence",68
"gi|645322161|ref|NR_118972.1| Bacillus subtilis strain NCDO 1769 16S ribosomal RNA, partial sequence",67
"gi|1811131543|ref|NR_165725.1| Brevibacillus antibioticus strain TGS2-1 16S ribosomal RNA, partial sequence",67
"gi|1199303398|ref|NR_147749.1| Catenulispora fulva strain SA-246 16S ribosomal RNA, partial sequence",66
"gi|444304144|ref|NR_074568.1| Rothia dentocariosa ATCC 17931 16S ribosomal RNA, partial sequence",65
"gi|602269356|ref|NR_044712.2| Rothia dentocariosa ATCC 17931 16S ribosomal RNA, partial sequence",65
"gi|1269785358|ref|NR_121735.2| Snodgrassella alvi wkB2 16S ribosomal RNA, complete sequence >gi|1269785421|ref|NR_118404.2| Snodgrassella alvi wkB2 16S ribosomal RNA, complete sequence",64
"gi|343200140|ref|NR_040827.1| Novosphingobium subterraneum strain IFO 16086 16S ribosomal RNA, partial sequence",63
"gi|2180566501|ref|NR_174339.1| Falsiroseomonas bella strain CQN31 16S ribosomal RNA, complete sequence",63
"gi|631251774|ref|NR_112972.1| Aciditerrimonas ferrireducens JCM 15389 strain IC-180 16S ribosomal RNA, partial sequence",62
"gi|1315204044|ref|NR_152714.1| Novosphingobium lotistagni strain THG-DN6.20 16S ribosomal RNA, partial sequence",61
"gi|343206281|ref|NR_044873.1| Rothia mucilaginosa strain DSM 20746 16S ribosomal RNA, partial sequence",61
"gi|1269801501|ref|NR_075005.2| Bacillus velezensis strain FZB42 16S ribosomal RNA, complete sequence",59
"gi|2180566441|ref|NR_174292.1| Bradyrhizobium frederickii strain CNPSo 3426 16S ribosomal RNA, partial sequence",59
"gi|219856891|ref|NR_024710.1| Roseateles saccharophilus strain DSM 654 16S ribosomal RNA, partial sequence",58
"gi|1024974706|ref|NR_136773.1| Aquipuribacter nitratireducens strain AMV4 16S ribosomal RNA, partial sequence",56
"gi|343202747|ref|NR_043184.1| Brucella cytisi strain ESC1 16S ribosomal RNA, partial sequence",54
"gi|343198793|ref|NR_043691.1| Methylobacillus flagellatus strain KT 16S ribosomal RNA, partial sequence",53
"gi|343201441|ref|NR_042167.1| Actinomyces graevenitzii strain CCUG 27294 16S ribosomal RNA, partial sequence",52
"gi|444303821|ref|NR_074243.1| Brucella anthropi ATCC 49188 16S ribosomal RNA, partial sequence",52
"gi|2363082607|ref|NR_179550.1| Khoudiadiopia massiliensis strain Marseille-P2746 16S ribosomal RNA, partial sequence",52
"gi|1776910886|ref|NR_164619.1| Acidibrevibacterium fodinaquatile strain G45-3 16S ribosomal RNA, partial sequence",51
"gi|2363085768|ref|NR_181136.1| Actinomyces faecalis strain ZJ34 16S ribosomal RNA, partial sequence",51
"gi|343202555|ref|NR_042911.1| Brucella lupini strain LUP21 16S ribosomal RNA, partial sequence",51
"gi|343200300|ref|NR_040987.1| Cupriavidus pinatubonensis strain 1245 16S ribosomal RNA, partial sequence",50
"gi|2363082587|ref|NR_179540.1| Streptococcus timonensis strain Marseille-P2915 16S ribosomal RNA, partial sequence",49
"gi|2363081188|ref|NR_178837.1| Variovorax gossypii strain JM-310 16S ribosomal RNA, partial sequence",47
"gi|470467498|ref|NR_074178.1| Methylobacillus flagellatus strain KT 16S ribosomal RNA, partial sequence",47
"gi|2363083002|ref|NR_179749.1| Methylibium rhizosphaerae strain C1-9 16S ribosomal RNA, partial sequence",46
"gi|645319785|ref|NR_117151.1| Thermus filiformis strain DSM 4687 16S ribosomal RNA, partial sequence",46
"gi|343206270|ref|NR_044862.1| Actinomyces bovis strain NCTC 11535 16S ribosomal RNA, partial sequence",45
"gi|558508598|ref|NR_104525.1| Nevskia terrae strain KIS13-15 16S ribosomal RNA, partial sequence",44
"gi|1864207066|ref|NR_169360.1| Anaerococcus urinomassiliensis strain Marseille-P2143 16S ribosomal RNA, partial sequence",44
"gi|343200570|ref|NR_041257.1| Methylophilus methylotrophus strain NCIMB 10515 16S ribosomal RNA, partial sequence",43
